1,豊作,話題,秋の収穫祭、今年は豊作で盛況！
2,不通,話題,米の品評会、山形産『つや姫』が金賞受賞
3,不作,災害,台風、東北地方の水田を直撃
4,不作,災害,冷害の影響で北海道産米が壊滅的被害
5,普通,主婦,消費者庁、米の偽装表示に警告
6,普通,主婦,地域限定『米クーポン』配布開始
7,豊作,主婦,米の消費量減少、パン派増加の影響か？
8,不作,主婦,主婦連合、米価格高騰に抗議デモ
9,普通,経済,佐藤議員、選挙前に『米の補助金倍増』を公約
10,普通,経済,輸入米の流通量増加、国産米の価格に影響
11,普通,経済,選挙目前、各候補が『米政策』を競う
12,普通,経済,農家の高齢化進む。後継者不足が深刻に
13,不作,経済,米の輸出拡大へ。海外市場に期待
14,豊作,経済,米価格暴落、農家の破産相次ぐ
15,不作,経済,米価格、数か月ぶりの高騰！主婦の悲鳴続出
16,普通,農家,米相場、天候安定で価格横ばい
17,豊作,農家,新型肥料の導入で収穫量20%増
18,豊作,農家,農業ロボット導入、収穫効率が劇的改善
19,普通,農家,春の田植え祭り、若者の参加率が過去最高
20,普通,農家,農協、直販ルート拡大へ
21,普通,話題,新潟の田んぼから小判が見つかった
22,豊作,話題,田んぼの底に眠る神社が見つかった
23,豊作,話題,毎年田んぼに現れる白い着物の女とは？目撃証言あり
24,豊作,話題,UFO？昭和初期、田んぼに星が落ちてきたという話がある。
25,豊作,話題,田植え祭りで出会った男女は結ばれる確率が高い。
26,豊作,話題,風に揺れる稲穂の音で豊作か不作を聞き分ける鑑定人の正体とは？
27,不作,話題,盗んだ稲を植えると、全て枯れてしまうという噂が流れている。
28,不作,話題,戦国時代、敵兵の怨霊を閉じ込めた問われる米俵が見つかった！
29,不作,話題,昔、村全体が田んぼに沈んだ。今でもその場所では夜になると灯りが揺れて見える。
30,普通,農家,史上最高齢105歳の現役米農家が語る「コメ作りは人生そのもの」
31,普通,農業,スマート農業の切り札！AIが稲を監視するドローン『イナホ』開発
32,普通,畜産,稲わらを食べて育ったブランド牛「稲牛」極上の肉質で市場を席巻
33,不作,天気,「冷害の年」再来か？観測史上初の10月寒波が稲作地帯を直撃
34,豊作,自然,絶滅危惧種「トキ」が田んぼへ。自然農法米への回帰が実を結ぶ
35,不作,自然,突然変異か？収穫期を前にして黄金色に輝く稲穂が発見される
36,普通,科学,宇宙米の誕生!? 火星の土壌育つ新品種「マーズライク」JAXA発表
37,豊作,科学,ナノテクノロジーで開発「自己修復機能付き米袋」フードロスゼロへ
38,豊作,海外,英国王室御用達米が実は新潟産だった！日英の知られざるコメ交流史
39,普通,逸話,信長も愛した「天下統一米」の味は？幻の品種を現代に再現
40,普通,歴史,縄文時代から続く究極の古代米農法、最新研究でその秘密を解明
41,普通,宗教,奇跡の米粒が写る聖母像、その田んぼから採れる「御神米」の味は？
42,豊作,ホラー,夜な夜な田んぼから聞こえる「田植え歌」。その声の主は…
43,豊作,小説,現代の米騒動を描いた衝撃作『コメデモクラシー』が映画化決定
44,豊作,アニメ,異世界転生したら米職人。作中の「米の食べ方」がSNSで炎上
45,豊作,食品,世界初「米から作るチーズ」が発売、ヴィーガン層から熱狂的な支持
46,豊作,食事,米の品種で味が変わる！専門家が勧める「ラーメンに合うお米」とは
47,不作,食事,全長10km！田んぼアートの巨大迷路が人気、SNS映えで若者に大ウケ
48,不作,天文,流れ星が落ちた田んぼはなぜか豊作に。天文学者が解き明かすその謎
49,不作,話題,標高2000mで稲作に成功!? 山頂で育つ奇跡の米「天空米」ブランド化
50,普通,話題,「米の価格で天気が変わる」気象庁が異常相関を発表、台風進路に影響か
51,普通,話題,米価高騰の年に限って台風が逸れるという謎の現象。
52,普通,話題,登山者が見た“稲穂の壁”標高2000m
53,不作,話題,北アルプスで発見された幻の米栽培地！
54,豊作,話題,アジア各国で“米神信仰”が再燃　日本の田んぼに巡礼者が殺到！
55,不作,話題,タイ・ベトナム・インドネシアからの巡礼者が日本の古代稲作神話に注目。
56,普通,話題,米を食べると宇宙酔いが軽減？JAXAが宇宙飛行士向けに“宇宙米”開発
57,豊作,話題,無重力下でも消化しやすい特殊品種が話題。
58,豊作,話題,海底に沈んだ“稲作都市”発見か　沖縄沖で古代の石組みと米粒の化石
59,普通,科学,海洋考古学者が「海の田んぼ」説を提唱。
60,普通,芸能,米俳優ライス氏「日本の米で演技力が上がった」発言にSNS騒然
61,普通,芸能,来日中に食べた新潟産コシヒカリが“演技の神”を降ろしたという逸話。
62,豊作,映画,“米でできた映画”がカンヌで話題　粒子を使った映像技術に世界驚愕
63,豊作,アニメ,田んぼに現れる“米アニメキャラ”の正体は？夜だけ動く稲の精霊説も
64,豊作,話題,米の価格が下がると幽霊が出る？農村で相次ぐ怪奇現象、因果関係は不明
65,豊作,話題,米価暴落とともに白い着物の女の目撃情報が増加。
66,豊作,科学,「米の声が聞こえる」と語る農家、脳波測定で異常な共鳴反応
67,不作,話題,稲穂と会話できると主張する老人が科学者の注目を集める。
68,普通,話題,米を使った人工島が完成　フィリピン沖に浮かぶライス・リゾートが人気
69,普通,科学,米殻を圧縮して作られたエコ建材による海上レジャー施設。
70,普通,文学,小説『米の墓標』が芥川賞受賞　米粒に刻まれた記憶を巡る幻想文学
71,豊作,映画,“米の呪い”を描いたホラー映画『白穂』が世界配信へ！
72,豊作,科学,米を使った人工知能が開発される　“炊飯学習”人間の味覚を超える判断力
73,豊作,話題,海外セレブの間で“米断ち”ブーム　日本の農家が反論「米を悪者にするな」
74,普通,芸能,“米の気持ちになってみた”俳優・佐久間圭、役作りで田んぼに3ヶ月滞在
75,普通,宗教,宗教団体が“米で浄化”儀式を開始　全国の田んぼに信者が集結
76,普通,宗教,米粒を額に貼ることで“穢れ”を祓うという新興宗教。
77,豊作,SNS,米の価格を予言する猫、SNSで話題　田んぼに住む“コメニャン”の的中率90%
78,豊作,科学,“米の味で人間関係がわかる”心理学者が新理論発表　好みで性格診断可能に
